,VTCcorr
0,-5.09046598057665
1,0.0
2,-6.645756602233713
3,0.0
4,-6.603433610851368
5,-6.722776145800498
6,0.0
7,0.0
8,0.0
9,-5.494245454680252
10,4.362033644029548
11,-6.97284148534261
12,-4.575045283860789
13,0.0
14,5.217418706273859
15,0.0
16,0.0
17,0.0
18,0.0
19,6.2524491002801605
20,6.250968441770211
21,0.0
22,0.0
23,0.0
24,0.0
25,5.5553802506763175
26,4.46037294134874
27,5.4563486840359285
28,4.730488656118858
29,0.0
30,0.0
31,6.802644244050137
32,0.0
33,6.952137890084792
34,5.129887489092153
35,0.0
36,0.0
37,5.34870565371232
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,9.12717942515565
45,6.186589177672937
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,4.520395675250876
65,0.0
66,0.0
67,0.0
68,4.829943119290167
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,4.796086922519416
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,-4.347837995660356
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,-7.013539598076774
100,0.0
101,-5.667502473467277
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,-5.968537747528049
111,0.0
112,0.0
113,-4.307208302813371
114,0.0
115,-5.211845781910576
116,-5.332954982461221
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,-5.032467529195594
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,-6.676563005620507
138,0.0
139,-5.360270785229646
140,-7.113050146275406
141,0.0
142,0.0
143,0.0
144,-6.526841563458336
145,0.0
146,0.0
147,-8.207839653373776
148,-5.682598575170214
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,4.970261273465618
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,5.826931054531039
163,0.0
164,0.0
165,8.060106633440371
166,0.0
167,0.0
168,5.078373947328243
169,0.0
170,6.169443726746113
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,7.761072822296415
179,0.0
180,7.928903615072399
181,-5.306730917004231
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,-4.488611159079354
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,4.4131062442427735
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,-5.369287055721217
223,0.0
224,-6.0636909562903725
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,-4.486728405827089
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,-4.47661468047759
259,0.0
260,-5.142244963402945
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
