,probe_fail
0,-5.277831498696648
1,0.0
2,-9.541944190043244
3,0.0
4,-6.638876114687912
5,-7.517947798243938
6,0.0
7,0.0
8,4.495643667591265
9,-5.351593930493575
10,6.389296668784342
11,0.0
12,-5.185433179547518
13,0.0
14,9.016708582579673
15,0.0
16,0.0
17,0.0
18,0.0
19,8.942838991674153
20,6.937642663130015
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,10.369988467817835
28,8.695457561274628
29,0.0
30,4.434329428386985
31,6.272104052663918
32,-6.094769782701375
33,6.334552201608063
34,0.0
35,8.314742737243924
36,0.0
37,0.0
38,-5.98350649857905
39,0.0
40,0.0
41,0.0
42,7.005586495173622
43,0.0
44,0.0
45,0.0
46,6.022448240835199
47,-4.492632723615895
48,0.0
49,0.0
50,0.0
51,0.0
52,-4.847555386573612
53,0.0
54,-4.83992583286407
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,-6.100836848721729
63,-5.271148635644075
64,0.0
65,0.0
66,9.051118287016845
67,7.069104389916218
68,0.0
69,0.0
70,6.3173923644171674
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,-5.205876737508362
99,-6.229964678107626
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,-5.767826257413631
111,0.0
112,6.798319658081288
113,0.0
114,0.0
115,0.0
116,0.0
117,5.087974994615367
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,5.093189527006115
126,0.0
127,6.317007303660939
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,-6.317926875984995
134,-4.428486099804782
135,0.0
136,-8.426688012769635
137,-9.583208759995317
138,0.0
139,-5.560837269367415
140,-9.737470790113903
141,0.0
142,-7.1793235464042775
143,6.201070295656241
144,-9.16222399527427
145,0.0
146,0.0
147,-8.07355805445206
148,-9.240229674088518
149,7.821235439580828
150,0.0
151,-4.7808898993094475
152,0.0
153,0.0
154,9.676004576680944
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,4.487468098911499
161,6.967474714201451
162,0.0
163,0.0
164,0.0
165,5.930009433793068
166,0.0
167,0.0
168,8.373921963712988
169,0.0
170,0.0
171,0.0
172,0.0
173,-5.522167222011278
174,0.0
175,0.0
176,4.62987921491265
177,0.0
178,4.450171159007093
179,0.0
180,6.217975045556869
181,-8.853885951925609
182,-8.589825208087898
183,0.0
184,0.0
185,-5.280238367760827
186,-8.081900618232519
187,0.0
188,0.0
189,-10.226926135754422
190,-4.987635350424425
191,0.0
192,-6.284204393187406
193,0.0
194,0.0
195,0.0
196,-6.8173305393465835
197,5.874704309719006
198,-6.439079915451868
199,5.635729252752315
200,0.0
201,0.0
202,0.0
203,7.203488966208245
204,0.0
205,9.438394539298194
206,8.136246789147664
207,0.0
208,0.0
209,5.179531762624355
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,7.052987420403125
221,-7.19852233440576
222,0.0
223,0.0
224,-7.710154797300436
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,-7.56528184305661
231,0.0
232,0.0
233,0.0
234,-4.818929155198779
235,0.0
236,0.0
237,9.191077718309158
238,0.0
239,4.755581762625056
240,0.0
241,-4.6641541428699975
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,4.999252943009513
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
