,probe_success
0,-5.307759223129084
1,0.0
2,-6.533996809502297
3,0.0
4,-7.82937981809776
5,-6.460944902704663
6,0.0
7,0.0
8,0.0
9,-6.336926953926666
10,4.328019240522388
11,-6.302425784268243
12,-7.488042710103003
13,0.0
14,4.473351204826313
15,0.0
16,0.0
17,0.0
18,0.0
19,9.84244993085413
20,9.194145811556572
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,6.755625171312611
27,7.84616567329765
28,9.099621248088889
29,0.0
30,4.640405929296903
31,8.289704077749327
32,0.0
33,0.0
34,0.0
35,7.573042986441356
36,0.0
37,0.0
38,-6.043700579392144
39,0.0
40,0.0
41,0.0
42,7.494080508433848
43,0.0
44,5.528102650279836
45,0.0
46,0.0
47,-5.624673473696509
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,-7.425258818718686
55,-5.800047865345186
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,8.993328133263434
66,8.824608448032789
67,6.337075036565239
68,0.0
69,-4.267111833231462
70,9.88760929716873
71,0.0
72,7.5422143492110285
73,7.169568918343992
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,-4.656056718964389
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,-6.667993088996104
100,0.0
101,-5.080255433171471
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,-5.333108814480864
111,0.0
112,4.424135455095379
113,0.0
114,0.0
115,-5.600717044343856
116,0.0
117,0.0
118,0.0
119,-4.711754407713581
120,0.0
121,0.0
122,0.0
123,5.075361809584983
124,0.0
125,4.56423110962766
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,-7.673161323992043
134,-4.763709416699485
135,0.0
136,-6.351810889700407
137,-7.583755372910102
138,0.0
139,-5.500759034456116
140,-6.896365876685206
141,0.0
142,-6.245564797960702
143,0.0
144,-5.221882476403118
145,-5.93225389654967
146,0.0
147,-6.136096038121558
148,-6.940823748029296
149,5.384329692376702
150,0.0
151,-6.239367502384206
152,0.0
153,0.0
154,9.024319471585654
155,0.0
156,0.0
157,-5.017037087643326
158,0.0
159,0.0
160,0.0
161,5.757522783055936
162,0.0
163,0.0
164,0.0
165,5.535172796109303
166,0.0
167,0.0
168,0.0
169,-4.508808647222404
170,0.0
171,0.0
172,-5.611786113713978
173,-4.263922317082372
174,0.0
175,-4.57073598118702
176,5.201185716910894
177,0.0
178,4.742463952393709
179,0.0
180,0.0
181,-7.031912668049801
182,-5.944371090669989
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,-4.358268072523886
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,-5.398561591712791
196,0.0
197,8.011299102771028
198,-5.87676609622157
199,8.85414091504259
200,0.0
201,0.0
202,0.0
203,10.175203035479962
204,0.0
205,9.795787450456414
206,8.711013871061754
207,0.0
208,5.928061084837395
209,6.72325495582737
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,-4.855012392714285
217,-4.571282030270433
218,0.0
219,0.0
220,0.0
221,-8.397095027829513
222,0.0
223,0.0
224,-6.718682379688817
225,-6.783423601472189
226,0.0
227,0.0
228,0.0
229,0.0
230,-6.491386220431057
231,0.0
232,0.0
233,0.0
234,0.0
235,4.92424154566142
236,0.0
237,6.987237781880061
238,0.0
239,5.748245703786456
240,0.0
241,-8.322190715983991
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,4.365343673734304
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
