,probe_success-probe_fail
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,-4.827841461116216
10,0.0
11,-5.057046886539322
12,0.0
13,0.0
14,-11.6605104132292
15,-6.803908986882887
16,0.0
17,0.0
18,0.0
19,-4.444455954110957
20,0.0
21,0.0
22,0.0
23,4.464036478581464
24,0.0
25,0.0
26,0.0
27,-5.2953855994071795
28,0.0
29,0.0
30,0.0
31,4.336083733453262
32,0.0
33,-5.73840527225449
34,0.0
35,-8.29035660038445
36,0.0
37,6.355383471924732
38,0.0
39,0.0
40,4.991798565426485
41,0.0
42,3.960389404937367
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,5.619742719665171
49,6.146719713312394
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,-4.151445801716666
56,-5.245229697750335
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,6.639596770391713
66,0.0
67,0.0
68,7.9074625427576635
69,0.0
70,4.706087405376376
71,0.0
72,4.6798783683965794
73,6.428355633616475
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,-5.461267928322683
83,-4.9602244531670845
84,0.0
85,0.0
86,-4.219607954828335
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,7.055877306560244
124,0.0
125,0.0
126,0.0
127,-4.756365641551293
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,-4.081785419552857
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,-6.2859595787556835
150,-6.214117975395343
151,0.0
152,-7.3136487141431115
153,0.0
154,-6.592987800091996
155,-6.594842996921879
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,-5.841471174033138
168,-7.972170859159743
169,-3.962232176586092
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,-4.305198340932559
181,0.0
182,0.0
183,-5.300940202527502
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,4.212392549063667
200,4.779214147735559
201,0.0
202,0.0
203,0.0
204,0.0
205,5.6414209797078465
206,0.0
207,0.0
208,6.329106429564921
209,4.392480333016117
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,-8.495286589994002
219,0.0
220,-5.620042555293449
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,5.849139541217806
236,0.0
237,0.0
238,0.0
239,4.347107906825835
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,7.160395089544135
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,5.61776511450543
256,0.0
257,0.0
258,0.0
259,0.0
260,7.070907499782973
261,0.0
262,-6.3669454349158245
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
